Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,20,2276,2196,2557,2687,3023,1868,3023,"0,000%",",94607","0,47","0,00"
TC Q2,20,1163921,1205069,1215229,1216709,1217804,987310,1217804,"0,000%",",01629","147,46","0,00"
TC Q3,20,354059,383809,396072,397119,397790,135589,397790,"65,000%",",04949","558,42","0,00"
TC Q4,20,200984,190391,258989,259991,270561,142505,270561,"70,000%",",07273","0,01","0,00"
TC Q5,20,603221,626321,633529,635495,635855,469423,635855,"0,000%",",03111","0,01","0,00"
TC Q6,20,603,569,668,689,844,548,844,"0,000%","1,02182","0,01","0,00"
TC Q7,20,526211,574307,596586,597340,602766,344083,602766,"25,000%",",03312","0,01","0,00"
TC Q8,20,158186,183609,189614,190475,191352,47323,191352,"0,000%",",09863","0,00","0,00"
TC Q9,20,1559589,1604521,1619122,1621070,1622219,1256121,1622219,"0,000%",",01230","0,09","0,00"
TC Q10,18,832769,1003172,1013400,1016257,1018757,476095,1018757,"0,000%",",01761","12031,84","0,00"
TC Q11,20,47984,47449,55888,56970,57969,39093,57969,"0,000%",",34416","0,01","0,00"
TC Q12,20,263594,262571,271326,272391,273588,254694,273588,"0,000%",",07307","0,01","0,00"
Total,238,473119,269656,1212571,1591938,1619122,548,1622219,"13,445%",",03695","1971,99","0,00"
