Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
TC Q1,3,16019,14005,20790,20790,20790,13262,20790,"0,000%",",06242","0,00","0,00"
TC Q2,3,139644,135200,148927,148927,148927,134807,148927,"0,000%",",00716","0,00","0,00"
TC Q3,3,2283584,2277513,2331750,2331750,2331750,2241490,2331750,"0,000%",",00044","0,00","0,00"
TC Q4,3,182523,187722,194520,194520,194520,165328,194520,"0,000%",",00548","0,00","0,00"
TC Q5,3,882825,896873,927061,927061,927061,824542,927061,"0,000%",",00113","0,00","0,00"
TC Q6,3,255,125,520,520,520,121,520,"0,000%","3,91134","0,00","0,00"
TC Q7,3,1610685,1615046,1627717,1627717,1627717,1589293,1627717,"0,000%",",00062","0,00","0,00"
TC Q8,3,190668,183544,207570,207570,207570,180891,207570,"0,000%",",00524","0,00","0,00"
TC Q9,3,4574038,4588293,4616223,4616223,4616223,4517598,4616223,"0,000%",",00022","0,00","0,00"
TC Q10,3,1545972,1557909,1682032,1682032,1682032,1397977,1682032,"0,000%",",00065","0,00","0,00"
TC Q11,3,22139,21793,23583,23583,23583,21041,23583,"0,000%",",04517","0,00","0,00"
TC Q12,3,123897,124040,136703,136703,136703,110948,136703,"0,000%",",00807","0,00","0,00"
Total,36,964354,183544,2277513,4517598,4616223,121,4616223,"0,000%",",00104","0,00","0,00"
